date,city,l1_category,l2_category,est_qty_sold
2025-03-04,Lonavala,Munchies,Bhujia & Mixtures,0
2025-03-26,Ahmedabad,Munchies,Bhujia & Mixtures,33
2025-03-20,Yamunanagar,Munchies,Bhujia & Mixtures,0
2025-03-23,Zirakpur,Munchies,Bhujia & Mixtures,12
2025-03-28,Mysore,Munchies,Bhujia & Mixtures,18
2025-03-13,Coimbatore,Munchies,Papad & Fryums,6
2025-03-06,Pune,Munchies,Bhujia & Mixtures,407
2025-03-25,Agra,Munchies,Bhujia & Mixtures,0
2025-03-31,Belgaum,Munchies,Papad & Fryums,0
2025-03-30,Vellore,Munchies,Papad & Fryums,0
2025-03-25,Mangaluru,Munchies,Bhujia & Mixtures,12
2025-03-28,Hyderabad,Munchies,Bhujia & Mixtures,223
2025-03-23,Vellore,Munchies,Papad & Fryums,0
2025-03-20,Kolkata,Munchies,Bhujia & Mixtures,96
2025-03-31,Vellore,Munchies,Papad & Fryums,0
2025-03-22,Kochi,Munchies,Bhujia & Mixtures,28
2025-03-30,Kochi,Munchies,Bhujia & Mixtures,0
2025-03-01,Tiruchirapalli,Munchies,Papad & Fryums,0
2025-03-07,Hyderabad,Munchies,Papad & Fryums,108
2025-03-09,Tiruchirapalli,Munchies,Papad & Fryums,0
2025-04-01,Ahmedabad,Munchies,Bhujia & Mixtures,32
2025-03-28,Kolkata,Munchies,Bhujia & Mixtures,81
2025-03-26,Ludhiana,Munchies,Bhujia & Mixtures,12
2025-03-06,Bathinda,Munchies,Bhujia & Mixtures,0
2025-03-23,Dharwad,Munchies,Papad & Fryums,3
2025-03-18,Ahmedabad,Munchies,Bhujia & Mixtures,68
2025-03-05,Coimbatore,Munchies,Bhujia & Mixtures,16
2025-03-11,Coimbatore,Munchies,Bhujia & Mixtures,20
2025-03-03,Faridabad,Munchies,Bhujia & Mixtures,5
2025-03-16,Kochi,Munchies,Bhujia & Mixtures,33
2025-03-28,Bathinda,Munchies,Bhujia & Mixtures,0
2025-03-29,Dharwad,Munchies,Papad & Fryums,0
2025-03-07,Bengaluru,Munchies,Bhujia & Mixtures,1260
2025-03-05,Thrissur,Munchies,Papad & Fryums,0
2025-03-29,Patiala,Munchies,Bhujia & Mixtures,0
2025-03-22,Bharuch,Munchies,Bhujia & Mixtures,0
2025-03-25,Coimbatore,Munchies,Bhujia & Mixtures,0
2025-03-09,Mumbai,Munchies,Papad & Fryums,432
2025-03-28,Lonavala,Munchies,Papad & Fryums,0
2025-04-01,Ghaziabad,Munchies,Bhujia & Mixtures,85
2025-03-29,Yamunanagar,Munchies,Bhujia & Mixtures,0
2025-03-20,Bhiwadi,Munchies,Bhujia & Mixtures,0
2025-03-19,Coimbatore,Munchies,Bhujia & Mixtures,0
2025-03-09,Dharwad,Munchies,Papad & Fryums,0
2025-03-22,Zirakpur,Munchies,Bhujia & Mixtures,0
2025-03-21,Gurgaon,Munchies,Bhujia & Mixtures,231
2025-03-30,Bharuch,Munchies,Bhujia & Mixtures,0
2025-03-21,Muzaffarnagar,Munchies,Bhujia & Mixtures,0
2025-03-03,Agra,Munchies,Bhujia & Mixtures,0
2025-03-28,Zirakpur,Munchies,Bhujia & Mixtures,0
2025-03-10,Aligarh,Munchies,Bhujia & Mixtures,0
2025-03-25,Guntur,Munchies,Papad & Fryums,3
2025-03-19,Thrissur,Munchies,Papad & Fryums,0
2025-03-01,Visakhapatnam,Munchies,Bhujia & Mixtures,18
2025-03-06,Ludhiana,Munchies,Bhujia & Mixtures,8
2025-03-10,Mangaluru,Munchies,Bhujia & Mixtures,16
2025-03-01,Patiala,Munchies,Bhujia & Mixtures,2
2025-03-01,Sonipat,Munchies,Bhujia & Mixtures,2
2025-03-04,Erode,Munchies,Bhujia & Mixtures,0
2025-03-10,Erode,Munchies,Bhujia & Mixtures,0
2025-03-30,Surat,Munchies,Bhujia & Mixtures,0
2025-03-07,Durgigudi,Munchies,Bhujia & Mixtures,0
2025-03-13,Thrissur,Munchies,Papad & Fryums,6
2025-03-31,Guntur,Munchies,Papad & Fryums,0
2025-03-23,Dharwad,Munchies,Bhujia & Mixtures,0
2025-03-01,Vijayawada,Munchies,Papad & Fryums,15
2025-03-09,Meerut,Munchies,Bhujia & Mixtures,32
2025-03-01,Meerut,Munchies,Bhujia & Mixtures,8
2025-03-23,Visakhapatnam,Munchies,Bhujia & Mixtures,9
2025-03-08,Kochi,Munchies,Bhujia & Mixtures,20
2025-03-24,Aligarh,Munchies,Bhujia & Mixtures,6
2025-03-30,Aligarh,Munchies,Bhujia & Mixtures,0
2025-03-13,Lonavala,Munchies,Papad & Fryums,0
2025-03-22,Surat,Munchies,Bhujia & Mixtures,4
2025-03-24,Mumbai,Munchies,Papad & Fryums,173
2025-03-29,Kundli,Munchies,Bhujia & Mixtures,24
2025-03-29,Mysore,Munchies,Papad & Fryums,0
2025-03-21,Kundli,Munchies,Bhujia & Mixtures,0
2025-03-17,Belgaum,Munchies,Papad & Fryums,0
2025-03-26,Saharanpur,Munchies,Bhujia & Mixtures,3
2025-03-16,Erode,Munchies,Papad & Fryums,0
2025-03-08,Mangaluru,Munchies,Papad & Fryums,0
2025-03-23,Bharuch,Munchies,Bhujia & Mixtures,0
2025-03-09,Dharwad,Munchies,Bhujia & Mixtures,0
2025-03-23,Ghaziabad,Munchies,Bhujia & Mixtures,27
2025-03-27,Vijayawada,Munchies,Bhujia & Mixtures,6
2025-03-08,Chandigarh,Munchies,Bhujia & Mixtures,24
2025-03-26,Madurai,Munchies,Papad & Fryums,0
